Name,AtBat,Hits,HmRun,Runs,RBI,Walks,Years,CAtBat,CHits,CHmRun,CRuns,CRBI,CWalks,League,Division,PutOuts,Assists,Errors,Salary
Dick Schofield,458,114,13,67,57,48,4,1350,298,28,160,123,122,1,1,246,389,18,475
Terry Pendleton,578,138,1,56,59,34,3,1399,357,7,149,161,87,0,0,133,371,20,160
George Bell,641,198,31,101,108,41,5,2129,610,92,297,319,117,1,0,269,17,10,1175
Don Baylor,585,139,31,93,94,62,17,7546,1982,315,1141,1179,727,1,0,0,0,0,950
Bill Doran,550,152,6,92,37,81,5,2308,633,32,349,182,308,0,1,262,329,16,625
Joel Skinner,315,73,5,23,37,16,4,450,108,6,38,46,28,1,1,227,15,3,110
Wally Joyner,593,172,22,82,100,57,1,593,172,22,82,100,57,1,1,1222,139,15,165
Andre Thornton,401,92,17,49,66,65,13,5206,1332,253,784,890,866,1,0,0,0,0,1100
Bob Dernier,324,73,4,32,18,22,7,1931,491,13,291,108,180,0,0,222,3,3,708.333
Bob Melvin,268,60,5,24,25,15,2,350,78,5,34,29,18,0,1,442,59,6,90
Andy VanSlyke,418,113,13,48,61,47,4,1512,392,41,205,204,203,0,0,211,11,7,550
Tim Teufel,279,69,4,35,31,32,4,1359,355,31,180,148,158,0,0,133,173,9,277.5
Ozzie Guillen,547,137,2,58,47,12,2,1038,271,3,129,80,24,1,1,261,459,22,175
Donnie Hill,339,96,4,37,29,23,4,1064,290,11,123,108,55,1,1,104,213,9,275
Ozzie Smith,514,144,0,67,54,79,9,4739,1169,13,583,374,528,0,0,229,453,15,1940
Al Newman,185,37,1,23,8,21,2,214,42,1,30,9,24,0,0,76,127,7,70
Wally Backman,387,124,1,67,27,36,7,1775,506,6,272,125,194,0,0,186,290,17,550
Bill Madlock,379,106,10,38,60,30,14,6207,1906,146,859,803,571,0,1,72,170,24,850
Jack Howell,151,41,4,26,21,19,2,288,68,9,45,39,35,1,1,28,56,2,95
Darryl Strawberry,475,123,27,76,93,72,4,1810,471,108,292,343,267,0,0,226,10,6,1220
Danny Tartabull,511,138,25,76,96,61,3,592,164,28,87,110,71,1,1,157,7,8,145
Damaso Garcia,424,119,6,57,46,13,9,3651,1046,32,461,301,112,1,0,224,286,8,850
Johnny Grubb,210,70,13,32,51,28,15,4040,1130,97,544,462,551,1,0,0,0,0,365
Dave Henderson,388,103,15,59,47,39,6,2174,555,80,285,274,186,1,1,182,9,4,325
BillyJo Robidoux,181,41,1,15,21,33,2,232,50,4,20,29,45,1,0,326,29,5,67.5
Frank White,566,154,22,76,84,43,14,6100,1583,131,743,693,300,1,1,316,439,10,750
Barry Bonds,413,92,16,72,48,65,1,413,92,16,72,48,65,0,0,280,9,5,100
Willie Randolph,492,136,5,76,50,94,12,5511,1511,39,897,451,875,1,0,313,381,20,875
Kal Daniels,181,58,6,34,23,22,1,181,58,6,34,23,22,0,1,88,0,3,86.5
Leon Durham,484,127,20,66,65,67,7,3006,844,116,436,458,377,0,0,1231,80,7,1183.333
Glenn Davis,574,152,31,91,101,64,3,985,260,53,148,173,95,0,1,1253,111,11,215
Chris Speier,155,44,6,21,23,15,16,6631,1634,98,698,661,777,0,0,53,88,3,275
Steve Lombardozzi,453,103,8,53,33,52,2,507,123,8,63,39,58,1,1,289,407,6,105
Brian Downing,513,137,20,90,95,90,14,5201,1382,166,763,734,784,1,1,267,5,3,900
Gary Gaetti,596,171,34,91,108,52,6,2862,728,107,361,401,224,1,1,118,334,21,900
Jody Davis,528,132,21,61,74,41,6,2641,671,97,273,383,226,0,0,885,105,8,1008.333
Tim Wallach,480,112,18,50,71,44,7,3031,771,110,338,406,239,0,0,94,270,16,750
Harold Reynolds,445,99,1,46,24,29,4,618,129,1,72,31,48,1,1,278,415,16,87.5
Tom Foley,263,70,1,26,23,30,4,888,220,9,83,82,86,0,0,81,147,4,250
Paul Molitor,437,123,9,62,55,40,9,4139,1203,79,676,390,364,1,0,82,170,15,1260
Dave Parker,637,174,31,89,116,56,14,6727,2024,247,978,1093,495,0,1,278,9,9,1041.667
Von Hayes,610,186,19,107,98,74,6,2728,753,69,399,366,286,0,0,1182,96,13,1300
Dave Winfield,565,148,24,90,104,77,14,7287,2083,305,1135,1234,791,1,0,292,9,5,1861.46
Alan Wiggins,239,60,0,30,11,22,6,1941,510,4,309,103,207,1,0,121,151,6,700
Gary Ward,380,120,5,54,51,31,8,3118,900,92,444,419,240,1,1,237,8,1,600
Vince Coleman,600,139,0,94,29,60,2,1236,309,1,201,69,110,0,0,300,12,9,160
Mitch Webster,576,167,8,89,49,57,4,822,232,19,132,83,79,0,0,325,12,8,210
Pat Sheridan,236,56,6,41,19,21,5,1257,329,24,166,125,105,1,0,172,1,4,190
Argenis Salazar,298,73,0,24,24,7,3,509,108,0,41,37,12,1,1,121,283,9,100
Glenn Braggs,215,51,4,19,18,11,1,215,51,4,19,18,11,1,0,116,5,12,70
Scott Bradley,220,66,5,20,28,13,3,290,80,5,27,31,15,1,1,281,21,3,90
Ozzie Virgil,359,80,15,45,48,63,7,1493,359,61,176,202,175,0,1,682,93,13,700
Alvin Davis,479,130,18,66,72,76,3,1624,457,63,224,266,263,1,1,880,82,14,480
Graig Nettles,354,77,16,36,55,41,20,8716,2172,384,1172,1267,1057,0,1,83,174,16,200
Ken Landreaux,283,74,4,34,29,22,10,3919,1062,85,505,456,283,0,1,145,5,7,737.5
Daryl Boston,199,53,5,29,22,21,3,514,120,8,57,40,39,1,1,152,3,5,75
Phil Bradley,526,163,12,88,50,77,4,1556,470,38,245,167,174,1,1,250,11,1,750
John Kruk,278,86,4,33,38,45,1,278,86,4,33,38,45,0,1,102,4,2,110
Mike Schmidt,20,1,0,0,0,0,2,41,9,2,6,7,4,0,0,78,220,6,2127.333
Brook Jacoby,583,168,17,83,80,56,5,1646,452,44,219,208,136,1,0,109,292,25,612.5
Spike Owen,528,122,1,67,45,51,4,1716,403,12,211,146,155,1,1,209,372,17,350
Kent Hrbek,550,147,29,85,91,71,6,2816,815,117,405,474,319,1,1,1218,104,10,1310
Bruce Bochy,127,32,8,16,22,14,8,727,180,24,67,82,56,0,1,202,22,2,135
Willie Wilson,631,170,9,77,44,31,11,4908,1457,30,775,357,249,1,1,408,4,3,1000
Jesse Barfield,589,170,40,107,108,69,6,2325,634,128,371,376,238,1,0,368,20,3,1237.5
Glenn Wilson,584,158,15,70,84,42,5,2358,636,58,265,316,134,0,0,331,20,4,662.5
Andres Galarraga,321,87,10,39,42,30,2,396,101,12,48,46,33,0,0,805,40,4,91.5
John Moses,399,102,3,56,34,34,5,670,167,4,89,48,54,1,1,211,9,3,80
Jim Dwyer,160,39,8,18,31,22,14,2128,543,56,304,268,298,1,0,33,3,0,275
Bill Buckner,629,168,18,73,102,40,18,8424,2464,164,1008,1072,402,1,0,1067,157,14,776.667
Joel Youngblood,184,47,5,20,28,18,11,3327,890,74,419,382,304,0,1,49,2,0,450
Scott Fletcher,530,159,3,82,50,47,6,1619,426,11,218,149,163,1,1,196,354,15,475
Craig Reynolds,313,78,6,32,41,12,12,3742,968,35,409,321,170,0,1,106,206,7,416.667
Wade Boggs,580,207,8,107,71,105,5,2778,978,32,474,322,417,1,0,121,267,19,1600
Herm Winningham,185,40,4,23,11,18,3,524,125,7,58,37,47,0,0,97,2,2,90
Steve Balboni,512,117,29,54,88,43,6,1750,412,100,204,276,155,1,1,1236,98,18,100
Tim Flannery,368,103,3,48,28,54,8,1897,493,9,207,162,198,0,1,209,246,3,326.667
Rick Burleson,271,77,5,35,29,33,12,4933,1358,48,630,435,403,1,1,62,90,3,450
Rickey Henderson,608,160,28,130,74,89,8,4071,1182,103,862,417,708,1,0,426,4,6,1670
Tony Phillips,441,113,5,76,52,76,5,1546,397,17,226,149,191,1,1,160,290,11,425
Jim Sundberg,429,91,12,41,42,57,13,5590,1397,83,578,579,644,1,1,686,46,4,825
Jim Morrison,537,147,23,58,88,47,10,2744,730,97,302,351,174,0,0,92,257,20,277.5
Dan Pasqua,280,82,16,44,45,47,2,428,113,25,61,70,63,1,0,148,4,2,110
Dan Gladden,351,97,4,55,29,39,4,1258,353,16,196,110,117,0,1,226,7,3,210
Rance Mulliniks,348,90,11,50,45,43,10,2288,614,43,295,273,269,1,0,60,176,6,450
Vance Law,360,81,5,37,44,37,7,2268,566,41,279,257,246,0,0,170,284,3,525
Steve Sax,633,210,6,91,56,59,6,3070,872,19,420,230,274,0,1,367,432,16,90
Buddy Biancalana,190,46,2,24,8,15,5,479,102,5,65,23,39,1,1,102,177,16,175
Juan Samuel,591,157,16,90,78,26,4,2020,541,52,310,226,91,0,0,290,440,25,640
Ronn Reynolds,126,27,3,8,10,5,4,239,49,3,16,13,14,0,0,190,2,9,190
Len Matuszek,199,52,9,26,28,21,6,805,191,30,113,119,87,0,1,235,22,5,265
Mike Pagliarulo,504,120,28,71,71,54,3,1085,259,54,150,167,114,1,0,103,283,19,175
Robby Thompson,549,149,7,73,47,42,1,549,149,7,73,47,42,0,1,255,450,17,140
Mike Davis,489,131,19,77,55,34,7,2051,549,62,300,263,153,1,1,310,9,9,780
Jose Uribe,453,101,3,46,43,61,3,948,218,6,96,72,91,0,1,249,444,16,195
Eddie Milner,424,110,15,70,47,36,7,2130,544,38,335,174,258,0,1,292,6,3,490
Ryne Sandberg,627,178,14,68,76,46,6,3146,902,74,494,345,242,0,0,309,492,5,740
Jose Canseco,600,144,33,85,117,65,2,696,173,38,101,130,69,1,1,319,4,14,165
Garth Iorg,327,85,3,30,44,20,8,2140,568,16,216,208,93,1,0,91,185,12,362.5
Ray Knight,486,145,11,51,76,40,11,3967,1102,67,410,497,284,0,0,88,204,16,500
Brett Butler,587,163,4,92,51,70,6,2695,747,17,442,198,317,1,0,434,9,3,765
Greg Gagne,472,118,12,63,54,30,4,793,187,14,102,80,50,1,1,228,377,26,155
Bob Brenly,472,116,16,60,62,74,6,1924,489,67,242,251,240,0,1,518,55,3,600
Eddie Murray,495,151,17,61,84,78,10,5624,1679,275,884,1015,709,1,0,1045,88,13,2460
Jim Presley,616,163,27,83,107,32,3,1437,377,65,181,227,82,1,1,110,308,15,200
Tommy Herr,559,141,2,48,61,73,8,3162,874,16,421,349,359,0,0,352,414,9,925
Howard Johnson,220,54,10,30,39,31,5,1185,299,40,145,154,128,0,0,50,136,20,297.5
Jeff Reed,165,39,2,13,9,16,3,196,44,2,18,10,18,1,1,332,19,2,75
Curt Wilkerson,236,56,0,27,15,11,4,1115,270,1,116,64,57,1,1,125,199,13,230
Johnny Ray,579,174,7,67,78,58,6,3053,880,32,366,337,218,0,0,280,479,5,657
Chet Lemon,403,101,12,45,53,39,12,5150,1429,166,747,666,526,1,0,316,6,5,675
Dave Anderson,216,53,1,31,15,22,4,926,210,9,118,69,114,0,1,73,152,11,225
Chili Davis,526,146,13,71,70,84,6,2648,715,77,352,342,289,0,1,303,9,9,815
Tom Paciorek,213,61,4,17,22,3,17,4061,1145,83,488,491,244,1,1,178,45,4,235
Glenn Hubbard,408,94,4,42,36,66,9,3573,866,59,429,365,410,0,1,282,487,19,535
Ed Romero,233,49,2,41,23,18,8,1350,336,7,166,122,106,1,0,102,132,10,375
Tim Hulett,520,120,17,53,44,21,4,927,227,22,106,80,52,1,1,70,144,11,185
Mike Heath,288,65,8,30,36,27,9,2815,698,55,315,325,189,0,0,259,30,10,650
Jim Rice,618,200,20,98,110,62,13,7127,2163,351,1104,1289,564,1,0,330,16,8,2412.5
Randy Bush,357,96,7,50,45,39,5,1394,344,43,178,192,136,1,1,167,2,4,300
George Hendrick,283,77,14,45,47,26,16,6840,1910,259,915,1067,546,1,1,144,6,5,700
Billy Hatcher,419,108,6,55,36,22,3,591,149,8,80,46,31,0,1,226,7,4,110
Cal Ripken,627,177,25,98,81,70,6,3210,927,133,529,472,313,1,0,240,482,13,1350
Pete Rose,237,52,0,15,25,30,24,14053,4256,160,2165,1314,1566,0,1,523,43,6,750
Candy Maldonado,405,102,18,49,85,20,6,950,231,29,99,138,64,0,1,161,10,3,415
Tim Laudner,193,47,10,21,29,24,6,1136,256,42,129,139,106,1,1,299,13,5,245
Steve Buechele,461,112,18,54,54,35,2,680,160,24,76,75,49,1,1,111,226,11,135
Jim Gantner,497,136,7,58,38,26,11,3871,1066,40,450,367,241,1,0,304,347,10,850
Tony Gwynn,642,211,14,107,59,52,5,2364,770,27,352,230,193,0,1,337,19,4,740
Bob Kearney,204,49,6,23,25,12,7,1309,308,27,126,132,66,1,1,419,46,5,300
George Brett,441,128,16,70,73,80,14,6675,2095,209,1072,1050,695,1,1,97,218,16,1500
Dwight Evans,529,137,26,86,97,97,15,6661,1785,291,1082,949,989,1,0,280,10,5,933.333
Dale Murphy,614,163,29,89,83,75,11,5017,1388,266,813,822,617,0,1,303,6,6,1900
Kevin Mitchell,328,91,12,51,43,33,2,342,94,12,51,44,33,0,0,145,59,8,125
Carlton Fisk,457,101,14,42,63,22,17,6521,1767,281,1003,977,619,1,1,389,39,4,875
Sid Bream,522,140,16,73,77,60,4,730,185,22,93,106,86,0,0,1320,166,17,200
Bo Diaz,474,129,10,50,56,40,10,2331,604,61,246,327,166,0,1,732,83,13,750
Rick Cerone,216,56,4,22,18,15,12,2796,665,43,266,304,198,1,0,391,44,4,250
Don Slaught,314,83,13,39,46,16,5,1457,405,28,156,159,76,1,1,533,40,4,431.5
Harry Spilman,143,39,5,18,30,15,9,639,151,16,80,97,61,0,1,138,15,1,175
Oddibe McDowell,572,152,18,105,49,65,2,978,249,36,168,91,101,1,1,325,13,3,200
Pat Tabler,473,154,6,61,48,29,6,1966,566,29,250,252,178,1,0,846,84,9,580
Jeffrey Leonard,341,95,6,48,42,20,10,2964,808,81,379,428,221,0,1,158,4,5,100
Willie Upshaw,573,144,9,85,60,78,8,3198,857,97,470,420,332,1,0,1314,131,12,960
Ron Hassey,341,110,9,45,49,46,9,2331,658,50,249,322,274,1,0,251,9,4,560
Alfredo Griffin,594,169,4,74,51,35,11,4408,1133,19,501,336,194,1,1,282,421,25,750
Kevin McReynolds,560,161,26,89,96,66,4,1789,470,65,233,260,155,0,1,332,9,8,625
Ron Kittle,376,82,21,42,60,35,5,1770,408,115,238,299,157,1,1,0,0,0,425
Mike Diaz,209,56,12,22,36,19,2,216,58,12,24,37,19,0,0,201,6,3,90
Mariano Duncan,407,93,8,47,30,30,2,969,230,14,121,69,68,0,1,172,317,25,150
Juan Beniquez,343,103,6,48,36,40,15,4338,1193,70,581,421,325,1,0,211,56,13,430
Dave Concepcion,311,81,3,42,30,26,17,8247,2198,100,950,909,690,0,1,153,223,10,320
Roy Smalley,459,113,20,59,57,68,12,5348,1369,155,713,660,735,1,1,0,0,0,740
Will Clark,408,117,11,66,41,34,1,408,117,11,66,41,34,0,1,942,72,11,120
Bill Almon,196,43,7,29,27,30,13,3231,825,36,376,290,238,0,0,80,45,8,240
Greg Brock,325,76,16,33,52,37,5,1506,351,71,195,219,214,0,1,726,87,3,385
Dale Sveum,317,78,7,35,35,32,1,317,78,7,35,35,32,1,0,45,122,26,70
Cory Snyder,416,113,24,58,69,16,1,416,113,24,58,69,16,1,0,203,70,10,90
Keith Hernandez,551,171,13,94,83,94,13,6090,1840,128,969,900,917,0,0,1199,149,5,1800
Tom Brookens,281,76,3,42,25,20,8,2658,657,48,324,300,179,1,0,106,144,7,341.667
Ken Griffey,490,150,21,69,58,35,14,6126,1839,121,983,707,600,1,0,96,5,3,1000
Carney Lansford,591,168,19,80,72,39,9,4478,1307,113,634,563,319,1,1,67,147,4,1200
Tony Fernandez,687,213,10,91,65,27,4,1518,448,15,196,137,89,1,0,294,445,13,350

